Source,Target,Weight,PathID
aal,lol,1,aar_vib_aal_lol
aar,lol,1,aar_lol_vib
lol,vib,1,aar_lol_vib
aal,ode,1,aal_ode_lol
ode,lol,1,aal_ode_lol
lol,vib,1,lol_vib_aar_ode
vib,aar,1,lol_vib_aar_ode
aar,ode,1,lol_vib_aar_ode
aar,ode,1,aar_ode_thi
ode,thi,1,aar_ode_thi
ode,vib,1,ode_vib_aal
vib,aal,1,ode_vib_aal
vib,ode,1,vib_ode_thi_lol
ode,thi,1,vib_ode_thi_lol
thi,lol,1,vib_ode_thi_lol
ode,thi,1,ode_thi_aar
thi,aar,1,ode_thi_aar
vib,thi,1,vib_thi_ode
thi,ode,1,vib_thi_ode
ode,lol,1,ode_lol_vib_aal_aar_thi
lol,vib,1,ode_lol_vib_aal_aar_thi
vib,aal,1,ode_lol_vib_aal_aar_thi
aal,aar,1,ode_lol_vib_aal_aar_thi
aar,thi,1,ode_lol_vib_aal_aar_thi
ode,aar,1,ode_aar_thi_vib
aar,thi,1,ode_aar_thi_vib
thi,vib,1,ode_aar_thi_vib
ode,vib,1,ode_vib_thi
vib,thi,1,ode_vib_thi
aar,aal,1,aar_aal_thi_ode
aal,thi,1,aar_aal_thi_ode
thi,ode,1,aar_aal_thi_ode
ode,aar,1,ode_aar_vib
aar,vib,1,ode_aar_vib
lol,aal,1,lol_aal_ode
aal,ode,1,lol_aal_ode
aal,ode,1,aal_ode_vib_aar
ode,vib,1,aal_ode_vib_aar
vib,aar,1,aal_ode_vib_aar
vib,thi,1,vib_thi_aal
thi,aal,1,vib_thi_aal
aar,lol,1,aar_lol_vib_thi
lol,vib,1,aar_lol_vib_thi
vib,thi,1,aar_lol_vib_thi
lol,ode,1,lol_ode_aar
ode,aar,1,lol_ode_aar
aal,aar,1,aal_aar_vib_lol_ode
aar,vib,1,aal_aar_vib_lol_ode
vib,lol,1,aal_aar_vib_lol_ode
lol,ode,1,aal_aar_vib_lol_ode
lol,aar,1,lol_aar_ode
aar,ode,1,lol_aar_ode
aar,ode,1,aar_ode_lol
ode,lol,1,aar_ode_lol
aar,lol,1,aar_lol_vib_ode
lol,vib,1,aar_lol_vib_ode
vib,ode,1,aar_lol_vib_ode
thi,aar,1,thi_aar_aal
aar,aal,1,thi_aar_aal
ode,thi,1,ode_thi_lol_aar
thi,lol,1,ode_thi_lol_aar
lol,aar,1,ode_thi_lol_aar
lol,aar,1,lol_aar_aal
aar,aal,1,lol_aar_aal
aar,aal,1,aar_aal_lol_vib
aal,lol,1,aar_aal_lol_vib
lol,vib,1,aar_aal_lol_vib
ode,lol,1,ode_lol_aal_aar
lol,aal,1,ode_lol_aal_aar
aal,aar,1,ode_lol_aal_aar
thi,lol,1,thi_lol
thi,aar,1,thi_aar_lol
aar,lol,1,thi_aar_lol
aal,ode,1,aal_ode_thi
ode,thi,1,aal_ode_thi
vib,thi,1,vib_thi_lol
thi,lol,1,vib_thi_lol
aal,aar,1,aal_aar_lol_ode
aar,lol,1,aal_aar_lol_ode
lol,ode,1,aal_aar_lol_ode
aal,vib,1,aal_vib_thi
vib,thi,1,aal_vib_thi
aal,aar,1,aal_aar_ode
aar,ode,1,aal_aar_ode
