newspaper,"Agriculture, household and artisanship",Almanacs and other light readings,Education and Bildung,"Geography, topography and biology","History, philosophy and biographies","Law, politics and government",Literature and personal writings,"Religion, theology and psalms",Subscription journals,"Theatre, music and poems",Unknown
aal,0.07150259067357513,0.06424870466321243,0.12331606217616581,0.025906735751295335,0.09326424870466321,0.07772020725388601,0.11398963730569948,0.10673575129533679,0.03212435233160622,0.25181347150259065,0.039378238341968914
aar,0.09977151561309977,0.06854531607006854,0.11576542269611577,0.03427265803503427,0.0753998476770754,0.0654988575780655,0.1172886519421173,0.10357958872810358,0.02817974105102818,0.2520944402132521,0.039603960396039604
lol,0.07912297426120114,0.03622497616777884,0.1744518589132507,0.014299332697807437,0.1544327931363203,0.042897998093422304,0.10772163965681601,0.13918017159199236,0.020972354623450904,0.2011439466158246,0.029551954242135366
ode,0.08673469387755102,0.10522959183673469,0.10076530612244898,0.024872448979591837,0.09056122448979592,0.08609693877551021,0.14094387755102042,0.13073979591836735,0.046556122448979595,0.15943877551020408,0.02806122448979592
thi,0.07009345794392523,0.0514018691588785,0.16822429906542055,0.028037383177570093,0.08566978193146417,0.059190031152647975,0.17757009345794392,0.11993769470404984,0.024922118380062305,0.1822429906542056,0.03271028037383177
vib,0.11358313817330211,0.05035128805620609,0.1405152224824356,0.04800936768149883,0.07142857142857142,0.07142857142857142,0.10304449648711944,0.1686182669789227,0.02459016393442623,0.18501170960187355,0.0234192037470726
